pair,full_sample_corr,covid_crash,luna_collapse,ftx_collapse
BTC-USD__ETH-USD,0.8151084004276317,0.8917175775151023,0.8970831924027731,0.9187963740056072
BTC-USD__^GSPC,0.3474261220396948,0.4678486024721805,0.5280088050305114,0.4198710705674054
BTC-USD__^GSPTSE,0.3008763947336497,0.5181848505048977,0.45855438343190735,0.44577777908408683
BTC-USD__^HSI,0.10381280444331545,0.28056917642421286,0.19126180270661738,0.13224721846898674
BTC-USD__^BVSP,0.2001974394840717,0.4107609029494905,0.28976772157224345,0.1959644683846369
BTC-USD__^AXJO,0.09186761362225912,0.3417929106452102,0.14352369886011823,0.17362913319975254
BTC-USD__^NSEI,0.13159817682028788,0.38120359928319647,0.20239146021516755,0.17620756422863018
BTC-USD__GC=F,0.1327970367646734,0.17952715059023253,0.1646724895297737,0.12807428272999485
BTC-USD__USDINR=X,0.05093952641605406,0.02682815425654908,0.07128721836620742,0.20628690011063391
ETH-USD__^GSPC,0.35015759518236794,0.4893776181078347,0.5382242154679513,0.42826185119689925
ETH-USD__^GSPTSE,0.3035567866630942,0.516700205023302,0.4613075111364365,0.4340144065936744
ETH-USD__^HSI,0.1350069166803751,0.2826043533102093,0.23174540336614333,0.1305719484871305
ETH-USD__^BVSP,0.17324448464468517,0.401019359580646,0.2694258030995131,0.17596910377127803
ETH-USD__^AXJO,0.12358795233242936,0.3486695759166918,0.17776358691665228,0.1821026106714323
ETH-USD__^NSEI,0.1812991942501364,0.3923714079229235,0.2801112791752584,0.2204628563976862
ETH-USD__GC=F,0.11024669824626593,0.13367235260876198,0.12797714063680884,0.12747230058603815
ETH-USD__USDINR=X,0.013815878348916304,-0.011310321152050593,0.03904309578619584,0.16410552133607811
^GSPC__^GSPTSE,0.7154770167922567,0.8288254247571318,0.8226321096430381,0.7440109042138633
^GSPC__^HSI,0.1935860920923825,0.3950856414077818,0.20395841723327054,0.044002395826718346
^GSPC__^BVSP,0.3878322572768401,0.6076132198566968,0.5105916988293066,0.27812046909341015
^GSPC__^AXJO,0.2481261377468904,0.49049911483266473,0.29818452286310254,0.2450524602309735
^GSPC__^NSEI,0.2716133068735973,0.4533872663776041,0.2740182402282818,0.19724385256185153
^GSPC__GC=F,0.13418332539949818,0.11231841085086224,0.05229692349357977,0.3196555390155998
^GSPC__USDINR=X,0.19564736512155376,0.23874802618461885,0.1964067861964677,0.1442710777612444
^GSPTSE__^HSI,0.14883101372655042,0.43052075646517757,0.16455586128612099,0.03722936665264382
^GSPTSE__^BVSP,0.5057886880950366,0.7013720418987757,0.6224665176117504,0.4872410499272058
^GSPTSE__^AXJO,0.4305197807847495,0.6216237159877147,0.43654027372067955,0.37378349311595277
^GSPTSE__^NSEI,0.23972516699070814,0.5107445534740662,0.23209637071449088,0.14799431071051353
^GSPTSE__GC=F,0.24430200511097053,0.22282354030186602,0.19384348420563757,0.3778529475013355
^GSPTSE__USDINR=X,0.3687783374344105,0.3205552498416348,0.3733944549963533,0.32098927685215173
^HSI__^BVSP,0.07504002991941007,0.3347270104357929,0.0338038979682901,0.10724801654114739
^HSI__^AXJO,0.20830250276253795,0.46466355664066444,0.23598345851322747,0.2242898095301639
^HSI__^NSEI,0.33451259178164516,0.5660868824132985,0.42638850075724916,0.33478863985660134
^HSI__GC=F,0.14743386040216303,0.27276995903738005,0.11509506547592768,0.190017525245268
^HSI__USDINR=X,0.06224850086999837,0.2427727594034499,-0.059897886308233506,0.0008067889712278279
^BVSP__^AXJO,0.2679968721940105,0.5383851839832703,0.2766370680517294,0.1607136332807116
^BVSP__^NSEI,0.17424445232165162,0.4371712292809566,0.18149416788299522,0.060423668926892396
^BVSP__GC=F,0.11979713953622938,0.10284788598441388,0.0690126376100066,0.1497176654890028
^BVSP__USDINR=X,0.33486543359484416,0.37006838228344746,0.4638289186623761,0.24951943355700043
^AXJO__^NSEI,0.2866951582394479,0.5399087551669544,0.29584987038573757,0.31460939139950556
^AXJO__GC=F,0.07807000801969793,0.1763473258979699,0.05922234897487407,0.12998223048591684
^AXJO__USDINR=X,0.34151465153730465,0.39018073873018266,0.33293628464117153,0.3961736656292334
^NSEI__GC=F,0.11867536248760924,0.21029127113211674,0.11127885177588431,0.09553963151092368
^NSEI__USDINR=X,0.14896912059416798,0.21781646987219022,0.09005855974513984,0.13252001185778353
GC=F__USDINR=X,0.1982249274030675,0.28904236650089044,0.2263853635360622,0.19700269477178872
