,TO,FROM,NET
resid_BTC-USD,104.17036603277255,0.3545080757867747,103.81585795698578
resid_ETH-USD,7.1306287052034065,66.84920243994634,-59.71857373474293
resid_^GSPC,86.08094867147585,15.054642425004994,71.02630624647085
resid_^GSPTSE,33.787425428162706,56.06796569916346,-22.280540271000753
resid_^HSI,11.12773677562654,12.63125852386554,-1.5035217482390006
resid_^BVSP,4.472586792113287,29.37642811416602,-24.903841322052735
resid_^AXJO,8.32174930988604,28.12818301028991,-19.806433700403872
resid_^NSEI,5.168481899194899,23.218020545673703,-18.049538646478805
resid_GC=F,6.742161440029381,9.853165943327136,-3.111004503297755
resid_USDINR=X,2.888710448124643,28.357420725365422,-25.46871027724078
