,resid_BTC-USD,resid_ETH-USD,resid_^GSPC,resid_^GSPTSE,resid_^HSI,resid_^BVSP,resid_^AXJO,resid_^NSEI,resid_GC=F,resid_USDINR=X
resid_BTC-USD,0.9964549192421323,0.00016509038125291745,0.0008527311606798518,4.71407272828201e-05,0.0005116975988228316,0.00010002251572214637,0.0004038441654116125,0.00023207300415950188,0.0005010962330993885,0.0007313849714366075
resid_ETH-USD,0.6644988860206292,0.3315079756005365,0.00022978160729267494,0.00010073464000551137,0.0006736337079205569,0.0005148326287037216,0.0009820075028065,0.00036631211570565717,0.00028384727469762716,0.0008419889017020982
resid_^GSPC,0.12528651631867566,0.01904429535542994,0.8494535757499501,0.0007196614218169121,0.0011944488856999488,6.9744837300694e-05,3.302594541756271e-05,0.004117638436480569,5.0894034292208126e-06,7.600364579953895e-05
resid_^GSPTSE,0.10445775306648047,0.012296156152309166,0.4263996229155659,0.43932034300836537,0.0003142305466201604,0.00031106556936293757,0.001213162311136339,0.004173134142851839,0.008731337556116542,0.0027831947311912518
resid_^HSI,0.016949930067652386,0.009108620730118025,0.05988449021309781,0.007940097799357828,0.8736874147613448,6.416648698002736e-05,0.00937084799963246,0.017139289074115372,0.000275418727671677,0.0055797241400298205
resid_^BVSP,0.06067862387229341,0.0005002176439170722,0.14233390966211176,0.07440801385990597,0.0021212602548672885,0.7062357188583398,0.0012120588338960946,0.001453859064031198,0.0028399123683030872,0.008216425582334454
resid_^AXJO,0.01470671199546854,0.00709268734517602,0.05666115992191259,0.12174366876757692,0.039938766199021036,0.010194110304213145,0.7187181698971008,0.000850634877262337,0.02940782305390403,0.0006862676383645867
resid_^NSEI,0.02293532518959856,0.01807224204418742,0.07925454588255855,0.016304178637720133,0.051807626137452746,0.009456351892011558,0.02484666128014814,0.767819794543263,2.723807103488983e-05,0.00947603632202505
resid_GC=F,0.019384006255408388,0.0003725222903276667,0.007965212759434716,0.04675840309522398,0.010431113543149259,0.0015446986741127426,0.006086398071129284,0.0054932261961222265,0.9014683405667286,0.0004960785483630731
resid_USDINR=X,0.012805907541519142,0.0046544551093158516,0.08722803259210468,0.06985235533273691,0.004284590882711572,0.02247087501272597,0.039069486989282406,0.01785865208122026,0.025349851712037397,0.7164257927463458
