asset,arch_pval,omega,nu,alpha,beta,alpha_beta
BTC-USD,4.934101269474704e-06,0.5599202292285893,2.894858634343916,0.08294606299836044,0.9167291367148743,0.9996751997132347
ETH-USD,2.715472122128934e-10,0.7235266538925114,3.150298730016369,0.07176348468874608,0.9209840724288947,0.9927475571176407
^GSPC,1.0159260072176059e-90,0.0472444955258269,6.964472147209115,0.1397562788403065,0.832318296376425,0.9720745752167315
^GSPTSE,3.941174707532512e-102,0.08987294954706626,9.323115524833666,0.15021432023694697,0.7668735985537294,0.9170879187906764
^HSI,5.884904966061565e-23,0.11896154987712751,7.288337486694401,0.08232679937571553,0.8707431811989979,0.9530699805747134
^BVSP,1.5827039115875868e-96,0.06830562474420251,8.610440519404678,0.08122621651674558,0.9008168578032693,0.9820430743200148
^AXJO,1.5192055114251267e-92,0.13083857918539066,6.423457752855925,0.12306597205778887,0.7744418165178344,0.8975077885756233
^NSEI,4.218729660312006e-73,0.0685825082930324,5.361197457831701,0.11684876309026379,0.8276408866056364,0.9444896496959002
GC=F,6.31898246705532e-23,0.06461413678536602,5.380232991276553,0.05054809967947127,0.8985301327659557,0.949078232445427
USDINR=X,9.865896158246228e-34,0.00019665369401612642,5.269411801257699,0.07781911119120821,0.9221808864861419,0.9999999976773501
